n c 
 0.000e+00 -6.439e-05 
 1.500e+04 -6.439e-05 
 3.000e+04 -6.439e-05 
 4.500e+04 -6.439e-05 
 6.000e+04 -6.439e-05 
 7.500e+04 -6.439e-05 
 9.000e+04 -6.439e-05 
 1.050e+05 -6.439e-05 
 1.200e+05 -6.439e-05 
 1.350e+05 -8.515e-05 
 1.500e+05 -8.515e-05 
 1.650e+05 -8.515e-05 
 1.800e+05 -8.515e-05 
 1.950e+05 -1.194e-04 
 2.100e+05 -1.194e-04 
 2.250e+05 -1.194e-04 
 2.400e+05 -1.194e-04 
 2.550e+05 -1.194e-04 
 2.700e+05 -1.194e-04 
 2.850e+05 -1.194e-04 
 3.000e+05 -1.194e-04 
 3.150e+05 -1.194e-04 
 3.300e+05 -1.194e-04 
 3.450e+05 -1.194e-04 
 3.600e+05 -1.194e-04 
 3.750e+05 -1.194e-04 
 3.900e+05 -1.194e-04 
 4.050e+05 -1.194e-04 
 4.200e+05 -1.194e-04 
 4.350e+05 -1.194e-04 
 4.500e+05 -1.194e-04 
 4.650e+05 -1.194e-04 
 4.800e+05 -1.194e-04 
 4.950e+05 -1.194e-04 
 5.100e+05 -1.194e-04 
 5.250e+05 -1.194e-04 
 5.400e+05 -1.596e-04 
 5.550e+05 -1.596e-04 
 5.700e+05 -1.596e-04 
 5.850e+05 -1.596e-04 
 6.000e+05 -1.596e-04 
 6.150e+05 -1.596e-04 
 6.300e+05 -1.596e-04 
 6.450e+05 -1.596e-04 
 6.600e+05 -1.596e-04 
 6.750e+05 -1.596e-04 
 6.900e+05 -1.596e-04 
 7.050e+05 -1.596e-04 
 7.200e+05 -1.596e-04 
 7.350e+05 -1.596e-04 
 7.500e+05 -1.596e-04 
 7.650e+05 -1.596e-04 
 7.800e+05 -1.596e-04 
 7.950e+05 -1.596e-04 
 8.100e+05 -1.596e-04 
 8.250e+05 -1.596e-04 
 8.400e+05 -1.596e-04 
 8.550e+05 -1.596e-04 
 8.700e+05 -1.596e-04 
 8.850e+05 -1.596e-04 
 9.000e+05 -1.596e-04 
 9.150e+05 -1.596e-04 
 9.300e+05 -1.596e-04 
 9.450e+05 -1.596e-04 
 9.600e+05 -1.596e-04 
 9.750e+05 -1.596e-04 
 9.900e+05 -1.596e-04 
 1.005e+06 -1.596e-04 
 1.020e+06 -1.596e-04 
 1.035e+06 -1.596e-04 
 1.050e+06 -1.596e-04 
 1.065e+06 -1.596e-04 
 1.080e+06 -1.596e-04 
 1.095e+06 -1.596e-04 
 1.110e+06 -1.596e-04 
 1.125e+06 -1.596e-04 
 1.140e+06 -1.596e-04 
 1.155e+06 -1.596e-04 
 1.170e+06 -1.596e-04 
 1.185e+06 -1.596e-04 
 1.200e+06 -1.596e-04 
 1.215e+06 -1.596e-04 
 1.230e+06 -1.596e-04 
 1.245e+06 -1.596e-04 
 1.260e+06 -1.596e-04 
 1.275e+06 -1.596e-04 
 1.290e+06 -1.596e-04 
 1.305e+06 -1.596e-04 
 1.320e+06 -1.596e-04 
 1.335e+06 -1.596e-04 
 1.350e+06 -1.596e-04 
 1.365e+06 -1.596e-04 
 1.380e+06 -1.596e-04 
 1.395e+06 -1.596e-04 
 1.410e+06 -1.596e-04 
 1.425e+06 -1.596e-04 
 1.440e+06 -1.596e-04 
 1.455e+06 -1.596e-04 
 1.470e+06 -1.596e-04 
 1.485e+06 -1.596e-04 
 1.500e+06 -1.596e-04 
 1.515e+06 -1.596e-04 
 1.530e+06 -1.596e-04 
 1.545e+06 -1.596e-04 
 1.560e+06 -1.596e-04 
 1.575e+06 -1.596e-04 
 1.590e+06 -1.596e-04 
 1.605e+06 -1.596e-04 
 1.620e+06 -1.596e-04 
 1.635e+06 -1.596e-04 
 1.650e+06 -1.596e-04 
 1.665e+06 -1.596e-04 
 1.680e+06 -1.596e-04 
 1.695e+06 -1.596e-04 
 1.710e+06 -1.596e-04 
 1.725e+06 -1.596e-04 
 1.740e+06 -1.596e-04 
 1.755e+06 -1.596e-04 
 1.770e+06 -1.596e-04 
 1.785e+06 -1.596e-04 
 1.800e+06 -1.596e-04 
 1.815e+06 -1.596e-04 
 1.830e+06 -1.596e-04 
 1.845e+06 -1.596e-04 
 1.860e+06 -1.596e-04 
 1.875e+06 -1.596e-04 
 1.890e+06 -1.596e-04 
 1.905e+06 -1.596e-04 
 1.920e+06 -1.596e-04 
 1.935e+06 -1.596e-04 
 1.950e+06 -1.596e-04 
 1.965e+06 -1.596e-04 
 1.980e+06 -1.596e-04 
