n c 
  4.000e+06 -1.282e-03 
  4.000e+06 -1.282e-03 
  4.000e+06 -1.282e-03 
  4.000e+06 -1.282e-03 
  4.000e+06 -1.282e-03 
  4.000e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.001e+06 -1.282e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.002e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.003e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.004e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.005e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.006e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.007e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.008e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.009e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.010e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.011e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.012e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.013e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.014e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.015e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.016e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.017e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.018e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
  4.019e+06 -1.396e-03 
