n c 
 0.000e+00 -1.773e-17 
 6.000e+03 -1.925e-17 
 1.200e+04 -1.925e-17 
 1.800e+04 -1.925e-17 
 2.400e+04 -1.925e-17 
 3.000e+04 -1.925e-17 
 3.600e+04 -1.925e-17 
 4.200e+04 -1.925e-17 
 4.800e+04 -1.925e-17 
 5.400e+04 -1.925e-17 
 6.000e+04 -1.925e-17 
 6.600e+04 -1.925e-17 
 7.200e+04 -1.925e-17 
 7.800e+04 -1.925e-17 
 8.400e+04 -1.925e-17 
 9.000e+04 -1.925e-17 
 9.600e+04 -1.925e-17 
 1.020e+05 -1.925e-17 
 1.080e+05 -1.925e-17 
 1.140e+05 -1.925e-17 
 1.200e+05 -1.925e-17 
 1.260e+05 -1.925e-17 
 1.320e+05 -1.925e-17 
 1.380e+05 -1.925e-17 
 1.440e+05 -1.925e-17 
 1.500e+05 -1.925e-17 
 1.560e+05 -1.925e-17 
 1.620e+05 -1.925e-17 
 1.680e+05 -1.925e-17 
 1.740e+05 -1.925e-17 
 1.800e+05 -1.925e-17 
 1.860e+05 -1.925e-17 
 1.920e+05 -1.925e-17 
 1.980e+05 -1.925e-17 
 2.040e+05 -1.925e-17 
 2.100e+05 -1.925e-17 
 2.160e+05 -1.925e-17 
 2.220e+05 -1.925e-17 
 2.280e+05 -1.925e-17 
 2.340e+05 -1.925e-17 
 2.400e+05 -1.925e-17 
 2.460e+05 -1.925e-17 
 2.520e+05 -1.925e-17 
 2.580e+05 -1.925e-17 
 2.640e+05 -1.925e-17 
 2.700e+05 -1.925e-17 
 2.760e+05 -1.925e-17 
 2.820e+05 -1.925e-17 
 2.880e+05 -1.925e-17 
 2.940e+05 -1.925e-17 
 3.000e+05 -1.925e-17 
 3.060e+05 -1.925e-17 
 3.120e+05 -1.925e-17 
 3.180e+05 -1.925e-17 
 3.240e+05 -1.925e-17 
 3.300e+05 -1.925e-17 
 3.360e+05 -1.925e-17 
 3.420e+05 -1.925e-17 
 3.480e+05 -1.925e-17 
 3.540e+05 -1.925e-17 
 3.600e+05 -1.925e-17 
 3.660e+05 -1.925e-17 
 3.720e+05 -1.925e-17 
 3.780e+05 -1.925e-17 
 3.840e+05 -1.925e-17 
 3.900e+05 -1.925e-17 
 3.960e+05 -1.925e-17 
 4.020e+05 -1.925e-17 
 4.080e+05 -1.925e-17 
 4.140e+05 -1.925e-17 
 4.200e+05 -1.925e-17 
 4.260e+05 -1.925e-17 
 4.320e+05 -1.925e-17 
 4.380e+05 -1.925e-17 
 4.440e+05 -1.925e-17 
 4.500e+05 -1.925e-17 
 4.560e+05 -1.925e-17 
 4.620e+05 -1.925e-17 
 4.680e+05 -1.925e-17 
 4.740e+05 -1.925e-17 
 4.800e+05 -1.925e-17 
 4.860e+05 -1.925e-17 
 4.920e+05 -1.925e-17 
